customer_care_calls,customer_rating,prior_purchases,discount_offered,weight_in_gms,warehouse_block,mode_of_shipment,product_importance,gender,delivery_status,weight_category
5,4,2,10,5395,A,ship,medium,male,on_time,High
4,3,2,6,5867,F,ship,medium,female,late,High
3,4,2,2,5957,D,ship,medium,male,late,High
3,1,2,27,2551,D,ship,medium,male,on_time,Low
7,5,4,9,1329,B,ship,medium,male,on_time,Low
6,2,2,18,3077,C,ship,low,female,on_time,Low
4,5,5,7,1380,F,road,low,male,late,Low
4,1,3,8,4667,D,flight,low,female,late,High
6,1,5,57,1784,C,ship,low,female,on_time,Low
4,5,2,9,5040,C,flight,low,male,late,High
5,1,5,9,1893,C,ship,medium,female,late,Low
3,3,6,26,1825,D,ship,low,female,on_time,Low
6,1,4,7,1260,C,road,low,female,on_time,Low
6,1,6,7,4014,A,road,medium,male,on_time,High
3,1,2,9,4316,C,flight,medium,female,late,High
3,3,2,5,4269,D,ship,high,male,on_time,High
3,1,2,10,4598,F,ship,medium,female,late,High
5,5,3,4,4218,F,ship,low,male,on_time,High
6,1,4,6,1561,A,ship,low,male,late,Low
5,1,4,6,4852,F,ship,high,female,late,High
3,2,5,43,1027,C,road,medium,male,on_time,Low
6,4,6,9,5354,D,ship,low,female,on_time,High
5,4,3,53,3172,A,ship,low,female,on_time,Low
4,4,2,6,4117,F,ship,medium,female,on_time,High
3,5,3,10,5663,A,ship,low,female,on_time,High
4,5,5,7,1409,B,ship,medium,female,late,Low
4,3,3,8,4240,B,flight,medium,male,on_time,High
5,1,5,10,5413,F,ship,low,female,on_time,High
4,1,2,23,1689,C,ship,low,female,on_time,Low
3,4,4,10,4109,B,road,low,female,late,High
5,1,3,5,5146,F,road,low,male,on_time,High
3,1,3,60,2069,A,ship,high,female,on_time,Low
4,5,3,6,4449,F,road,low,female,on_time,High
3,4,2,14,2163,F,ship,low,male,on_time,Low
4,1,5,10,4018,C,ship,low,female,on_time,High
4,2,5,7,1711,B,ship,medium,male,on_time,Low
3,5,3,1,4432,F,ship,medium,female,late,High
